sbLinesConstant::captured,sbLinesConstant::captureDisplay,sbLinesConstant::captureKey,sbLinesConstant::lineComments,sbLinesConstant::lineName,sbLinesConstant::lineNameAbbr,sbLinesConstant::lineSpecies,sbLinesConstant::lineStatus,sbLinesConstant::lineStatusDisplay,sbLinesConstant::phenotypeDescription,sbLinesConstant::phenotypePicAnnotation,sbLinesConstant::researcherInitials,sbLinesConstant::storedLineName,sbLinesConstant::storedLineNameAbbr
Yes,capture details,sbL7819Yes,,BEAR PAW LAKE,BP,Gasterosteus aculeatus,1,BEAR PAW LAKE is an alias for .,,,,BEAR PAW LAKE,BP
Yes,capture details,sbL7820Yes,,BOOT LAKE,BT,Gasterosteus aculeatus,1,BOOT LAKE is an alias for .,,,,BOOT LAKE,BT
Yes,capture details,sbL7821Yes,,WHALE LAKE,WH,Gasterosteus aculeatus,1,WHALE LAKE is an alias for .,,,,WHALE LAKE,WH
Yes,capture details,sbL7964Yes,,RABBIT SLOUGH,RS,Gasterosteus aculeatus,1,RABBIT SLOUGH is an alias for .,,,,RABBIT SLOUGH,RS
Yes,capture details,sbL7968Yes,,SILTCOOS,SLT,Gasterosteus aculeatus,1,SILTCOOS is an alias for .,,,,SILTCOOS,SLT
Yes,capture details,sbL7969Yes,,AIROLO PUNGITIUS,ARPP,Pungitius pungitius,1,AIROLO PUNGITIUS is an alias for .,,,,AIROLO PUNGITIUS,ARPP
Yes,capture details,sbL7970Yes,,STEPHEN PUNGITIUS,STPPP,Pungitius pungitius,1,STEPHEN PUNGITIUS is an alias for .,,,,STEPHEN PUNGITIUS,STPPP
Yes,capture details,sbL7971Yes,,SUTTON CREEK,SUCR,Gasterosteus aculeatus,1,SUTTON CREEK is an alias for .,,,,SUTTON CREEK,SUCR
Yes,capture details,sbL9367Yes,,BOLO LAKE,BOL,Gasterosteus aculeatus,1,BOLO LAKE is an alias for .,,,,BOLO LAKE,BOL
Yes,capture details,sbL9418Yes,,FLORENCE LAKE,FLR,Gasterosteus aculeatus,1,FLORENCE LAKE is an alias for .,,,,FLORENCE LAKE,FLR
Yes,capture details,sbL9470Yes,,MILLRACE SOUTH,MRS,Gasterosteus aculeatus,1,MILLRACE SOUTH is an alias for .,,,,MILLRACE SOUTH,MRS
Yes,capture details,sbL9471Yes,,MILLRACE NORTH,MRN,Gasterosteus aculeatus,1,MILLRACE NORTH is an alias for .,,,,MILLRACE NORTH,MRN
Yes,capture details,sbL9472Yes,,SOUTH SLOUGH,SSL,Gasterosteus aculeatus,1,SOUTH SLOUGH is an alias for .,,,,SOUTH SLOUGH,SSL
Yes,capture details,sbL9490Yes,Chuck caught these fish with Rebecca,CUSHMAN CREEK,CUCR,Gasterosteus aculeatus,1,CUSHMAN CREEK is an alias for .,,,,CUSHMAN CREEK,CUCR
Yes,capture details,sbL9516Yes,Chuck caught these in traps set at Hill's creek road.  A few died in transit and were fixed,CUSHMAN@HILL'S RD,CUHR,Gasterosteus aculeatus,1,CUSHMAN@HILL'S RD is an alias for .,,,,CUSHMAN@HILL'S RD,CUHR
Yes,capture details,sbL9517Yes,Chuck caught these at mile 4 on Cushman Creek,CUSHMAN@MILE 4,CMCR4,Gasterosteus aculeatus,1,CUSHMAN@MILE 4 is an alias for .,,,,CUSHMAN@MILE 4,CUM4
Yes,capture details,sbL11543Yes,Shipped by Mike Bell on 14June03,MUD LAKE PUNGITIUS,MUPP,Pungitius pungitius,1,MUD LAKE PUNGITIUS is an alias for .,,,,MUD LAKE PUNGITIUS,MUPP
No,,sbL11638Yes,This is a mass crossing between many different families of fish. (RS/BT/BP/WH/ST/),EXTREME HYBRID,EXTHYB,Gasterosteus aculeatus,1,EXTREME HYBRID is an alias for .,,,,,
No,,sbL11708Yes,,BOOT LAKE/RABBIT SLOUGH,BT/RS,,1,BOOT LAKE/RABBIT SLOUGH is an alias for .,,,,,
No,,sbL11709Yes,,BEAR PAW LAKE/RABBIT SLOUGH,BP/RS,,1,BEAR PAW LAKE/RABBIT SLOUGH is an alias for .,,,,,
No,,sbL11710Yes,,RABBIT SLOUGH/WHALE LAKE,RS/WH,,1,RABBIT SLOUGH/WHALE LAKE is an alias for .,,,,,
No,,sbL11711Yes,,SILTCOOS/SUTTON CREEK,SLT/SUCR,,1,SILTCOOS/SUTTON CREEK is an alias for .,,,,,
No,,sbL11712Yes,,BEAR PAW LAKE/BOOT LAKE,BP/BT,,1,BEAR PAW LAKE/BOOT LAKE is an alias for .,,,,,
No,,sbL11713Yes,,BOOT LAKE/WHALE LAKE,BT/WH,,1,BOOT LAKE/WHALE LAKE is an alias for .,,,,,
No,,sbL11714Yes,,BEAR PAW LAKE/WHALE LAKE,BP/WH,,1,BEAR PAW LAKE/WHALE LAKE is an alias for .,,,,,
No,,sbL11718Yes,,RABBIT SLOUGH/SILTCOOS,RS/SLT,,1,RABBIT SLOUGH/SILTCOOS is an alias for .,,,,,
No,,sbL11719Yes,,SILTCOOS/WHALE LAKE,SLT/WH,,1,SILTCOOS/WHALE LAKE is an alias for .,,,,,
No,,sbL11720Yes,,BOOT LAKE/SOUTH SLOUGH,BT/SSL,,1,BOOT LAKE/SOUTH SLOUGH is an alias for .,,,,,
No,,sbL11725Yes,,[BOOT LAKE/RABBIT SLOUGH]/SOUTH SLOUGH,[BT/RS]/SSL,,1,[BOOT LAKE/RABBIT SLOUGH]/SOUTH SLOUGH is an alias for .,,,,,
No,,sbL11726Yes,,RABBIT SLOUGH/[SILTCOOS/WHALE LAKE],RS/[SLT/WH],,1,RABBIT SLOUGH/[SILTCOOS/WHALE LAKE] is an alias for .,,,,,
No,,sbL11727Yes,,BOOT LAKE ALPHA ACTIN GFP,BTAAGFP,,1,BOOT LAKE ALPHA ACTIN GFP is an alias for .,,,,BOOT LAKE ALPHA ACTIN GFP,BTAAGFP
No,,sbL11728Yes,,BOOT LAKE ALPHA ACTIN GFP/RABBIT SLOUGH,BTAAGFP/RS,,1,BOOT LAKE ALPHA ACTIN GFP/RABBIT SLOUGH is an alias for .,,,,,
No,,sbL11729Yes,,IRRADIATED MALES,IRM,,1,IRRADIATED MALES is an alias for .,,,,Irradiated male,IRM
No,,sbL11744Yes,,[BOOT LAKE/RABBIT SLOUGH]/SILTCOOS,[BT/RS]/SLT,,,[BOOT LAKE/RABBIT SLOUGH]/SILTCOOS is an alias for .,,,,,
No,,sbL11745Yes,,BEAR PAW LAKE/[BOOT LAKE/RABBIT SLOUGH],BP/[BT/RS],,,BEAR PAW LAKE/[BOOT LAKE/RABBIT SLOUGH] is an alias for .,,,,,
No,,sbL11746Yes,,[BEAR PAW LAKE/RABBIT SLOUGH]/BOOT LAKE,[BP/RS]/BT,,,[BEAR PAW LAKE/RABBIT SLOUGH]/BOOT LAKE is an alias for .,,,,,
No,,sbL11747Yes,,BEAR PAW LAKE/[RABBIT SLOUGH/WHALE LAKE],BP/[RS/WH],,,BEAR PAW LAKE/[RABBIT SLOUGH/WHALE LAKE] is an alias for .,,,,,
No,,sbL11748Yes,,BEAR PAW LAKE/[BEAR PAW LAKE/RABBIT SLOUGH],BP/[BP/RS],Gasterosteus aculeatus,,BEAR PAW LAKE/[BEAR PAW LAKE/RABBIT SLOUGH] is an alias for .,,,,,
No,,sbL11754Yes,,BEAR PAW LAKE/[SILTCOOS/WHALE LAKE],BP/[SLT/WH],,,BEAR PAW LAKE/[SILTCOOS/WHALE LAKE] is an alias for .,,,,,
No,,sbL11755Yes,,BOOT LAKE/[RABBIT SLOUGH/WHALE LAKE],BT/[RS/WH],,,BOOT LAKE/[RABBIT SLOUGH/WHALE LAKE] is an alias for .,,,,,
No,,sbL11756Yes,,BOOT LAKE/[BOOT LAKE/RABBIT SLOUGH],BT/[BT/RS],,,BOOT LAKE/[BOOT LAKE/RABBIT SLOUGH] is an alias for .,,,,,
No,,sbL11757Yes,,BOOT LAKE/[RABBIT SLOUGH/SILTCOOS],BT/[RS/SLT],,,BOOT LAKE/[RABBIT SLOUGH/SILTCOOS] is an alias for .,,,,,
No,,sbL11758Yes,,BEAR PAW LAKE/SILTCOOS,BP/SLT,,,BEAR PAW LAKE/SILTCOOS is an alias for .,,,,,
No,,sbL11759Yes,,BEAR PAW LAKE/[RABBIT SLOUGH/SILTCOOS],BP/[RS/SLT],,,BEAR PAW LAKE/[RABBIT SLOUGH/SILTCOOS] is an alias for .,,,,,
No,,sbL11760Yes,,[BOOT LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/WHALE LAKE],[BT/RS]/[RS/WH],,,[BOOT LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/WHALE LAKE] is an alias for .,,,,,
No,,sbL11761Yes,,[BEAR PAW LAKE/RABBIT SLOUGH]/[BOOT LAKE/RABBIT SLOUGH],[BP/RS]/[BT/RS],,,[BEAR PAW LAKE/RABBIT SLOUGH]/[BOOT LAKE/RABBIT SLOUGH] is an alias for .,,,,,
No,,sbL11762Yes,,BOOT LAKE/[SILTCOOS/WHALE LAKE],BT/[SLT/WH],,,BOOT LAKE/[SILTCOOS/WHALE LAKE] is an alias for .,,,,,
No,,sbL11763Yes,,[BEAR PAW LAKE/RABBIT SLOUGH]/RABBIT SLOUGH,[BP/RS]/RS,,,[BEAR PAW LAKE/RABBIT SLOUGH]/RABBIT SLOUGH is an alias for .
No,,sbL11764Yes,These are males whose sperm's DNA has been cross-linked through irradiation.  The male should contribute no genetic material to these crosses.,Irradiated Male,IRAD,Gasterosteus aculeatus,,Irradiated Male is an alias for .
No,,sbL11765Yes,,[BEAR PAW LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/WHALE LAKE],[BP/RS]/[RS/WH],,,[BEAR PAW LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/WHALE LAKE] is an alias for .
No,,sbL11766Yes,,[BOOT LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/SILTCOOS],[BT/RS]/[RS/SLT],,,[BOOT LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/SILTCOOS] is an alias for .
No,,sbL11767Yes,,[BOOT LAKE/RABBIT SLOUGH]/[SILTCOOS/WHALE LAKE],[BT/RS]/[SLT/WH],,,[BOOT LAKE/RABBIT SLOUGH]/[SILTCOOS/WHALE LAKE] is an alias for .
No,,sbL11768Yes,,[BOOT LAKE/RABBIT SLOUGH]/RABBIT SLOUGH,[BT/RS]/RS,,,[BOOT LAKE/RABBIT SLOUGH]/RABBIT SLOUGH is an alias for .
No,,sbL11769Yes,,[BEAR PAW LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/SILTCOOS],[BP/RS]/[RS/SLT],,,[BEAR PAW LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/SILTCOOS] is an alias for .
No,,sbL11770Yes,,[BEAR PAW LAKE/RABBIT SLOUGH]/SILTCOOS,[BP/RS]/SLT,,,[BEAR PAW LAKE/RABBIT SLOUGH]/SILTCOOS is an alias for .
Yes,capture details,sbL11771Yes,,SILTCOOS LAKE,SLT LK,Gasterosteus aculeatus,,SILTCOOS LAKE is an alias for .
Yes,capture details,sbL11772Yes,,SILTCOOS SLOUGH,SLT SLGH,,,SILTCOOS SLOUGH is an alias for .
No,,sbL11773Yes,,STAGECOACH SLOUGH,STGCH SLGH,Gasterosteus aculeatus,,STAGECOACH SLOUGH is an alias for .
Yes,capture details,sbL11774Yes,,TERN,TN,,,TERN is an alias for .
No,,sbL11775Yes,,STAGE COACH,STG CCH,Gasterosteus aculeatus,,STAGE COACH is an alias for .
Yes,capture details,sbL11776Yes,"This is a pooling of Mudd lake stocks 528,529,530,531",MUD LAKE THREESPINE,MUGA,Gasterosteus aculeatus,,MUD LAKE THREESPINE is an alias for .
No,,sbL11777Yes,,MUD LAKE THREESPINE/RABBIT SLOUGH,MUGA/RS,Gasterosteus aculeatus,,MUD LAKE THREESPINE/RABBIT SLOUGH is an alias for .
No,,sbL11778Yes,,MUD LAKE PUNGITIUS/RABBIT SLOUGH,MUPP/RS,,,MUD LAKE PUNGITIUS/RABBIT SLOUGH is an alias for .
No,,sbL11779Yes,,[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH,[MUPP/RS]/RS,,,[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH is an alias for .
No,,sbL11780Yes,,BEAR PAW LAKE/[MUD LAKE PUNGITIUS/RABBIT SLOUGH],BP/[MUPP/RS],,,BEAR PAW LAKE/[MUD LAKE PUNGITIUS/RABBIT SLOUGH] is an alias for .
No,,sbL11781Yes,,BOOT LAKE/SILTCOOS,BT/SLT,,,BOOT LAKE/SILTCOOS is an alias for .
No,,sbL11782Yes,,BEAR PAW LAKE/MUD LAKE THREESPINE,BP/MUGA,,,BEAR PAW LAKE/MUD LAKE THREESPINE is an alias for .
No,,sbL11783Yes,This collection site corresponds to a pond on teh south side of the highway 126 near mile marker 9,9 MILE SIUSLAW POND,NINMIL,Gasterosteus aculeatus,,9 MILE SIUSLAW POND is an alias for .
No,,sbL11784Yes,This is from Lily Lake Oregon near Florence,LILLY LAKE,LIL LK,,,LILLY LAKE is an alias for .
No,,sbL11785Yes,,KNOWLES CREEK,KNW CR,Gasterosteus aculeatus,,KNOWLES CREEK is an alias for .
No,,sbL11786Yes,,MUD LAKE THREESPINE/[MUD LAKE THREESPINE/RABBIT SLOUGH],MUGA/[MUGA/RS],,,MUD LAKE THREESPINE/[MUD LAKE THREESPINE/RABBIT SLOUGH] is an alias for .
No,,sbL11787Yes,,BOOT LAKE/MUD LAKE THREESPINE,BT/MUGA,,,BOOT LAKE/MUD LAKE THREESPINE is an alias for .
No,,sbL11788Yes,,[MUD LAKE THREESPINE/RABBIT SLOUGH]/RABBIT SLOUGH,[MUGA/RS]/RS,,,[MUD LAKE THREESPINE/RABBIT SLOUGH]/RABBIT SLOUGH is an alias for .
Yes,capture details,sbL11789Yes,,BEAVER CREEK MARSH,BEAVCREEMAR,Gasterosteus aculeatus,,BEAVER CREEK MARSH is an alias for .
Yes,capture details,sbL11790Yes,,ECKMAN LAKE,ECKMAN LAKE,Gasterosteus aculeatus,,ECKMAN LAKE is an alias for .
Yes,capture details,sbL11791Yes,,HINCH BRIDGE UPSTREAM,HINCH BRIDGE U,Gasterosteus aculeatus,,HINCH BRIDGE UPSTREAM is an alias for .
Yes,capture details,sbL11792Yes,,HINCH BRIDGE DOWNSTREAM,HINCH BRIDGE D,Gasterosteus aculeatus,,HINCH BRIDGE DOWNSTREAM is an alias for .
Yes,capture details,sbL11793Yes,,MILLPORT SLOUGH,MILLPORT SLOUGH,Gasterosteus aculeatus,,MILLPORT SLOUGH is an alias for .
Yes,capture details,sbL11794Yes,,ASPEN LAKE SUN RIVER NATURE CENTER,ASPEN LAKE,Gasterosteus aculeatus,,ASPEN LAKE SUN RIVER NATURE CENTER is an alias for .
Yes,capture details,sbL11795Yes,,WHILAMUTE BOAT BASIN WILLAMETTE RIVER,WHILAMUTE BOAT BASIN,Gasterosteus aculeatus,,WHILAMUTE BOAT BASIN WILLAMETTE RIVER is an alias for .
Yes,capture details,sbL11796Yes,,BRADSHAW'S POND FLORENCE SOUTH JETTY,BRADSHAW'S POND,Gasterosteus aculeatus,,BRADSHAW'S POND FLORENCE SOUTH JETTY is an alias for .
Yes,capture details,sbL11797Yes,,FIRST PIER FLORENCE SOUTH JETTY,FIRST PIER,Gasterosteus aculeatus,,FIRST PIER FLORENCE SOUTH JETTY is an alias for .
No,,sbL11798Yes,,TOMMELSON LAKE,TOMMELSON,Gasterosteus aculeatus,,TOMMELSON LAKE is an alias for .
Yes,capture details,sbL11799Yes,,"PONY CREEK  RESERVIOR, COOS BAY OREGON",PCRU,Gasterosteus aculeatus,,"PONY CREEK  RESERVIOR, COOS BAY OREGON is an alias for ."
Yes,capture details,sbL11800Yes,,"EEL CREEK, LAKESIDE OREGON",EEL CREEK OREGON,Gasterosteus aculeatus,,"EEL CREEK, LAKESIDE OREGON is an alias for ."
Yes,capture details,sbL11801Yes,,"TENMILE CREEK, LAKESIDE OREGON",TENMILE CREEK,,,"TENMILE CREEK, LAKESIDE OREGON is an alias for ."
No,,sbL11802Yes,,"EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON",EEL CREEK OREGON/TENMILE CREEK,,,"EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON is an alias for ."
No,,sbL11803Yes,,"NORTH SLOUGH, OREGON",NORTH SLOUGH,,,"NORTH SLOUGH, OREGON is an alias for ."
No,,sbL11804Yes,,MILLICOMA RIVER,MILLICOMA RIVER,Gasterosteus aculeatus,,MILLICOMA RIVER is an alias for .
No,,sbL11805Yes,,LARSON CREEK,LARSON CREEK,Gasterosteus aculeatus,,LARSON CREEK is an alias for .
No,,sbL11806Yes,,WINCHESTER CREEK SMOLT TRAP,WIN CR SLT TRP,Gasterosteus aculeatus,,WINCHESTER CREEK SMOLT TRAP is an alias for .
Yes,capture details,sbL11807Yes,,WINCHESTER CREEK SOUTH (ABOVE ABULT TRAP),WINCH CRK STH,Gasterosteus aculeatus,,WINCHESTER CREEK SOUTH (ABOVE ABULT TRAP) is an alias for .
Yes,capture details,sbL11808Yes,,SOUTH JETTY FLORENCE,SOUTH JETTY FLORENCE,Gasterosteus aculeatus,,SOUTH JETTY FLORENCE is an alias for .
Yes,capture details,sbL11809Yes,,WALLACE LAKE,WALLACE LAKE,Gasterosteus aculeatus,,WALLACE LAKE is an alias for .
No,,sbL11810Yes,,SOUTH TWIN LAKE OREGON,STHTW OR,Gasterosteus aculeatus,,SOUTH TWIN LAKE OREGON is an alias for .
Yes,capture details,sbL11811Yes,,TAHKENITCH CREEK,TC,,,TAHKENITCH CREEK is an alias for .
Yes,capture details,sbL11812Yes,,[SMITH/UMPQUA RIVER],[SM/UM RV],,,[SMITH/UMPQUA RIVER] is an alias for .
Yes,capture details,sbL11813Yes,,PONY CREEK RESERVOIR LOWER,PCRL,,,PONY CREEK RESERVOIR LOWER is an alias for .
Yes,capture details,sbL11814Yes,,SILTCOOS RIVER,SILT RV,,,SILTCOOS RIVER is an alias for .
Yes,capture details,sbL11815Yes,,MINER'S CREEK,MC,,,MINER'S CREEK is an alias for .
Yes,capture details,sbL11816Yes,,DEAN CREEK,DEAN CRK,,,DEAN CREEK is an alias for .
Yes,capture details,sbL11817Yes,,CHARLESTON BAY,CHARL BY,,,CHARLESTON BAY is an alias for .
Yes,capture details,sbL11818Yes,,CUSHMAN SLOUGH,CUSH SLGH,,,CUSHMAN SLOUGH is an alias for .
No,,sbL11819Yes,,"EEL CREEK, LAKESIDE OREGON/RABBIT SLOUGH",EEL CREEK OREGON/RS,,,"EEL CREEK, LAKESIDE OREGON/RABBIT SLOUGH is an alias for ."
No,,sbL11820Yes,,"BEAR PAW LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON",BP/PCRU,,,"BEAR PAW LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON is an alias for ."
No,,sbL11821Yes,,PCS2 + GFP,PC GFP,,,PCS2 + GFP is an alias for .
No,,sbL11822Yes,,"PONY CREEK  RESERVIOR, COOS BAY OREGON/RABBIT SLOUGH",PCRU/RS,,,"PONY CREEK  RESERVIOR, COOS BAY OREGON/RABBIT SLOUGH is an alias for ."
No,,sbL11823Yes,,"BOOT LAKE/EEL CREEK, LAKESIDE OREGON",BT/EEL CREEK OREGON,,,"BOOT LAKE/EEL CREEK, LAKESIDE OREGON is an alias for ."
No,,sbL11824Yes,,"BOOT LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON",BT/PCRU,,,"BOOT LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON is an alias for ."
Yes,capture details,sbL11825Yes,Crooked River at Prineville,CROOKED RIVER,CRKD RVR,Gasterosteus aculeatus,,CROOKED RIVER is an alias for .
Yes,capture details,sbL11826Yes,Deschutes River at Sunriver Marina,DESCHUTES RIVER,DSCHTS RVR,Gasterosteus aculeatus,,DESCHUTES RIVER is an alias for .
Yes,capture details,sbL11827Yes,,CRANE PRAIRIE RESERVOIR,CRANE PRAIRIE,,,CRANE PRAIRIE RESERVOIR is an alias for .
Yes,capture details,sbL11828Yes,,WICKIUP RESERVOIR,WICKIUP RSVR,,,WICKIUP RESERVOIR is an alias for .
Yes,capture details,sbL11829Yes,,PAULINA LAKE,PAULINA LK,,,PAULINA LAKE is an alias for .
Yes,capture details,sbL11830Yes,,HIGH RIDGE LAKE,HIGH RIDGE LK,Gasterosteus aculeatus,,HIGH RIDGE LAKE is an alias for .
Yes,capture details,sbL11831Yes,Purchased from Gulf Coast Specimens 2/6/08,PIPEFISH ,PIPEFISH ,Syngnathus scovelli,,PIPEFISH  is an alias for .
Yes,capture details,sbL11832Yes,collected on 1/30/09 by Taylor and James,RIVERBEND,RVRBND,Gasterosteus aculeatus,,RIVERBEND is an alias for .
Yes,capture details,sbL11833Yes,,LAZY LAKE,LAZY LAKE,Gasterosteus aculeatus,,LAZY LAKE is an alias for .
No,,sbL11834Yes,,"EEL CREEK, LAKESIDE OREGON/[EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON]",EEL CREEK OREGON/[EEL CREEK OREGON/TENMILE CREEK],,,"EEL CREEK, LAKESIDE OREGON/[EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON] is an alias for ."
Yes,capture details,sbL11835Yes,,LONG LAKE,LONG LAKE,Gasterosteus aculeatus,,LONG LAKE is an alias for .
Yes,capture details,sbL11836Yes,,BENKA LAKE - REGION 5,BENKA LAKE REGION 5,Gasterosteus aculeatus,,BENKA LAKE - REGION 5 is an alias for .
No,,sbL11837Yes,,"SALMON CREEK SLOUGH, KENAI, AK",SALMON CREEK SLOUGH,Gasterosteus aculeatus,,"SALMON CREEK SLOUGH, KENAI, AK is an alias for ."
No,,sbL11838Yes,,"HIDDEN LAKE, KENAI, AK",HIDDEN LAKE,Gasterosteus aculeatus,,"HIDDEN LAKE, KENAI, AK is an alias for ."
No,,sbL11839Yes,,GEORGINA LAKE,GEORGINA LAKE,Gasterosteus aculeatus,,GEORGINA LAKE is an alias for .
Yes,capture details,sbL11840Yes,,ARROW LAKE,ARROW LAKE,Gasterosteus aculeatus,,ARROW LAKE is an alias for .
Yes,capture details,sbL11841Yes,,BENKA LAKE - REGION 3,BENKA LAKE REGION 3,Gasterosteus aculeatus,,BENKA LAKE - REGION 3 is an alias for .
No,,sbL11842Yes,,"LITTLE BEAVER LAKE, MAT-SU, AK",LITTLE BEAVER LAKE,Gasterosteus aculeatus,,"LITTLE BEAVER LAKE, MAT-SU, AK is an alias for ."
No,,sbL11843Yes,,"STORMY LAKE, KENAI, AK",STORMY LAKE,Gasterosteus aculeatus,,"STORMY LAKE, KENAI, AK is an alias for ."
No,,sbL11844Yes,,"SUNRIVER, OR",SUNRIVER,Gasterosteus aculeatus,,"SUNRIVER, OR is an alias for ."
Yes,capture details,sbL11845Yes,,BENKA LAKE - REGION 6,BENKA LAKE REGION 6,Gasterosteus aculeatus,,BENKA LAKE - REGION 6 is an alias for .
Yes,capture details,sbL11846Yes,,"MEADOW CREEK, MAT-SU, AK",MEADOW CREEK,Gasterosteus aculeatus,,"MEADOW CREEK, MAT-SU, AK is an alias for ."
